institute_id,name,city,state,nirf_rank,nirf_score,source_url
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,89.46,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,3,83.09,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5,76.88,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.00,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,7,71.86,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,71.55,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0701,Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,10,66.69,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,11,66.22,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,40,57.60,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,41,56.93,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0564,UPES,Dehradun,Uttarakhand,42,56.65,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,43,56.35,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,45,55.67,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46,55.01,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47,54.29,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,50,54.16,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,53.13,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,52,52.96,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,55,52.28,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,56,52.12,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-C-6379,Netaji Subhas University of Technology,Delhi,Delhi,57,51.52,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,51.11,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,59,51.04,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,50.65,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0223,Jain University Bangalore,Bengaluru,Karnataka,95,44.61,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,97,44.38,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-C-1269,R V College of Engineering,Bengaluru,Karnataka,99,44.26,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,100,43.95,https://nirfindia.org/Rankings/2024/EngineeringRanking.html
